configuration,average_theoretical,average_pooled_lower,pooled_uniformity,pooled_0.95_CI_inclusion,average_fold_lower,fold_uniformity,fold_0.95_CI_inclusion,average_best,average_theoretical_validation,average_DeLong,PercentInclusion95_DeLong,average_HanleyMcNeil,PercentInclusion95_HanleyMcNeil,average_BT,PercentInclusion95_BT,average_theoretical_final,average_DeLong_10p,PercentInclusion95_DeLong_10p,average_HanleyMcNeil_10p,PercentInclusion95_HanleyMcNeil_10p,average_BT_10p,PercentInclusion95_BT_10p,average_MABT_10p,PercentInclusion95_MABT_10p
alpha_24_beta_6_samples_500_config_100_balance_0.1_classes_2,0.9286088246673236,0.8589705732464791,0.1048683984622695,0.99,0.8564948133726915,0.0433270215407251,0.98,0.938496735098467,0.924498369584741,0.865185097938751,0.895,0.884638044217233,0.855,0.847878956743551,0.93,0.918261715408678,0.91492459638251,0.535,0.937112349748535,0.26,0.891059786522142,0.75,0.882190411501852,0.805
alpha_24_beta_6_samples_500_config_100_balance_equal_classes_2,0.935693090764626,0.9001680901646614,0.0849982781241626,0.995,0.8978046660274266,0.1122936238096157,0.975,0.939378895972365,0.934625231872051,0.898021060437692,0.91,0.903001998971519,0.9,0.888924922994603,0.95,0.926481723937736,0.909001240691916,0.79,0.92773459714066,0.485,0.88950330305254,0.925,0.886854176424117,0.93
alpha_24_beta_6_samples_500_config_500_balance_0.1_classes_2,0.9451763288723696,0.8817574393749237,0.0791220098968837,0.995,0.8797629625250898,0.1122936238096155,0.98,0.955905372612243,0.940172733239005,0.892429152589062,0.86,0.90632579800572,0.83,0.877289315466999,0.9,0.933972000539662,0.946350197114676,0.305,0.962154568333504,0.12,0.919760117820715,0.68,0.903373545938457,0.82
alpha_24_beta_6_samples_500_config_500_balance_equal_classes_2,0.9541231380222276,0.92353013753891,0.0145799487269932,0.975,0.9223297335704168,0.058930106041914,0.98,0.957628796681962,0.953377233334959,0.92452801299192,0.875,0.927329709987748,0.875,0.915517114487392,0.935,0.943629710677595,0.933544173304427,0.67,0.951972832269753,0.32,0.907769811753478,0.965,0.902789871434485,0.975
alpha_9_beta_6_samples_500_config_100_balance_0.1_classes_2,0.8542415578824497,0.7643609037995338,0.1048683984622695,0.97,0.761564073411127,0.036970981472008,0.98,0.866149611717786,0.834076432888179,0.777079212167471,0.825,0.808243280463318,0.695,0.759993847062827,0.855,0.8369705694882,0.809123506078021,0.71,0.863194007426812,0.305,0.777752135736771,0.815,0.773325949784177,0.825
alpha_9_beta_6_samples_500_config_100_balance_equal_classes_2,0.8598012751684132,0.8103000789880752,0.1372095943256226,0.975,0.810259334007899,0.2396472500434946,0.96,0.863552958251042,0.854886995720359,0.807583521235828,0.885,0.818825734592171,0.84,0.79926663807307,0.925,0.84560995105649,0.805848751913884,0.905,0.84325986777829,0.565,0.787154825248765,0.95,0.785703125356695,0.95
alpha_9_beta_6_samples_500_config_500_balance_0.1_classes_2,0.8868887596815039,0.7993237316608429,0.0635117003116773,0.97,0.7979903694043557,0.0589301060419138,0.97,0.901048114014419,0.879900164282358,0.801000995557741,0.89,0.829072550921739,0.84,0.784470480067558,0.91,0.867844044574658,0.850726975027781,0.61,0.901579000351225,0.235,0.812708598256465,0.82,0.802854790482244,0.85
alpha_9_beta_6_samples_500_config_500_balance_equal_classes_2,0.9001936230210765,0.85730564057827,0.0849982781241628,0.99,0.8540130689988533,0.0635117003116774,0.985,0.904246092413367,0.895925306899818,0.855300895383886,0.92,0.863434906208022,0.87,0.846224459627401,0.955,0.885668755293255,0.852306882141373,0.875,0.891848979127763,0.39,0.82457832956812,0.965,0.823009545421009,0.96
